JLCarter,West Indies,South Africa,17,27,3,0,62.96296296296296,0,0,0,0,0,0,Kingsmead,0,0,2015,18
JLCarter,West Indies,Sri Lanka,8,20,0,0,40.0,13,2,14,2,0,7.0,R Premadasa Stadium,1,1,2015,72
JLCarter,West Indies,New Zealand,32,41,4,1,78.04878048780488,0,0,0,0,0,0,Westpac Stadium,0,0,2015,38
JLCarter,West Indies,South Africa,5,13,1,0,38.46153846153847,0,0,0,0,0,0,St George's Park,0,0,2015,0
JLCarter,West Indies,Sri Lanka,5,20,0,0,25.0,14,2,12,0,0,6.0,R Premadasa Stadium,0,0,2015,-1
JLCarter,West Indies,South Africa,18,35,0,1,51.42857142857142,0,0,0,0,0,0,Buffalo Park,0,0,2015,16
JLCarter,West Indies,Bangladesh,3,14,0,0,21.428571428571427,0,0,0,0,0,0,The Village Malahide,0,0,2019,-3
JLCarter,West Indies,South Africa,40,40,3,1,100.0,0,0,0,0,0,0,New Wanderers Stadium,0,1,2015,53
JLCarter,West Indies,India,21,44,3,0,47.72727272727273,0,0,0,0,0,0,Western Australia Cricket Association Ground,0,0,2015,18
JLCarter,West Indies,Pakistan,12,20,1,0,60.0,11,1,23,0,0,23.0,Providence Stadium,0,0,2017,11
JLCarter,West Indies,Sri Lanka,6,5,0,0,120.0,0,0,0,0,0,0,Queens Sports Club,0,0,2016,6
JLCarter,West Indies,Sri Lanka,6,26,0,0,23.076923076923077,18,3,21,1,0,7.0,Pallekele International Cricket Stadium,0,1,2015,33
JLCarter,West Indies,Afghanistan,2,8,0,0,25.0,0,0,0,0,0,0,Darren Sammy National Cricket Stadium Gros Islet,0,0,2017,-4
JLCarter,West Indies,Ireland,43,29,4,1,148.27586206896552,11,1,19,1,0,19.0,The Village Malahide,0,0,2019,74
JLCarter,West Indies,England,46,82,8,0,56.09756097560976,23,3,28,0,0,9.333333333333334,Kensington Oval Bridgetown,0,0,2017,48
JLCarter,West Indies,Zimbabwe,43,57,4,0,75.43859649122807,6,1,7,0,0,7.0,Queens Sports Club,0,0,2016,47
JLCarter,West Indies,Zimbabwe,1,1,0,0,100.0,11,1,17,0,0,17.0,Queens Sports Club,0,0,2016,1
JLCarter,West Indies,South Africa,10,21,1,0,47.61904761904761,0,0,0,0,0,0,Sydney Cricket Ground,0,0,2015,5
JLCarter,West Indies,Bangladesh,11,18,1,0,61.111111111111114,0,0,0,0,0,0,Castle Avenue,0,0,2019,10
JLCarter,West Indies,England,52,48,4,2,108.33333333333333,0,0,0,0,0,0,Sir Vivian Richards Stadium North Sound,0,1,2017,76
JLCarter,West Indies,Pakistan,11,8,0,1,137.5,0,0,0,0,0,0,Providence Stadium,0,0,2017,13
JLCarter,West Indies,Afghanistan,19,59,0,0,32.20338983050847,0,0,0,0,0,0,Darren Sammy National Cricket Stadium Gros Islet,0,1,2017,21
JLCarter,West Indies,South Africa,0,3,0,0,0.0,0,0,0,0,0,0,SuperSport Park,0,2,2015,8
JLCarter,West Indies,Sri Lanka,54,63,2,2,85.71428571428571,5,0,4,0,0,0,Harare Sports Club,0,0,2016,68
JLCarter,West Indies,India,13,32,1,0,40.625,0,0,2,0,0,0,Queen's Park Oval Port of Spain,0,0,2017,8
JLCarter,West Indies,United Arab Emirates,50,60,5,0,83.33333333333334,0,0,0,0,0,0,McLean Park,0,0,2015,63
JLCarter,West Indies,India,0,0,0,0,0,8,1,5,0,0,5.0,Queen's Park Oval Port of Spain,0,0,2017,0
