SDHope,West Indies,Sri Lanka,5,12,1,0,41.66666666666667,0,0,0,0,0,0,Riverside Ground,0,1,2019,8
SDHope,West Indies,England,11,32,1,0,34.375,0,0,0,0,0,0,The Rose Bowl,0,0,2019,6
SDHope,West Indies,New Zealand,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Old Trafford,0,1,2019,3
SDHope,West Indies,Bangladesh,87,110,6,1,79.0909090909091,0,0,0,0,0,0,The Village Malahide,0,0,2019,103
SDHope,West Indies,India,5,10,0,0,50.0,0,0,0,0,0,0,Queen's Park Oval Trinidad,0,0,2019,1
SDHope,West Indies,India,25,41,1,0,60.97560975609756,0,0,0,0,0,0,Sir Vivian Richards Stadium North Sound,0,4,2017,56
SDHope,West Indies,Pakistan,15,12,2,0,125.0,0,0,0,0,0,0,Providence Stadium,0,3,2017,41
SDHope,West Indies,India,5,10,1,0,50.0,0,0,0,0,0,0,Old Trafford,0,4,2019,34
SDHope,West Indies,Sri Lanka,25,32,2,0,78.125,0,0,0,0,0,0,Queens Sports Club,0,1,2016,35
SDHope,West Indies,Afghanistan,48,78,3,0,61.53846153846154,0,0,0,0,0,0,Darren Sammy National Cricket Stadium Gros Islet,0,2,2017,65
SDHope,West Indies,Pakistan,11,18,1,0,61.111111111111114,0,0,0,0,0,0,Trent Bridge,0,4,2019,42
SDHope,West Indies,Afghanistan,43,80,5,0,53.75,0,0,0,0,0,0,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,0,2019,44
SDHope,West Indies,Ireland,30,33,4,0,90.9090909090909,0,0,0,0,0,0,The Village Malahide,0,1,2019,42
SDHope,West Indies,India,6,11,0,0,54.54545454545454,0,0,0,0,0,0,Providence Stadium Guyana,0,0,2019,2
SDHope,West Indies,Bangladesh,74,65,6,3,113.84615384615384,0,0,0,0,0,0,The Village Malahide,0,0,2019,94
SDHope,West Indies,England,16,42,1,0,38.095238095238095,0,0,0,0,0,0,Kensington Oval Bridgetown,0,0,2017,11
SDHope,West Indies,Zimbabwe,14,22,2,0,63.63636363636363,0,0,0,0,0,0,Queens Sports Club,0,2,2016,30
SDHope,West Indies,Zimbabwe,101,120,4,4,84.16666666666667,0,0,0,0,0,0,Queens Sports Club,1,1,2016,149
SDHope,West Indies,India,51,100,5,0,51.0,0,0,0,0,0,0,Sabina Park Kingston,0,0,2017,60
SDHope,West Indies,Bangladesh,109,133,10,1,81.95488721804512,0,0,0,0,0,0,Castle Avenue,0,0,2019,137
SDHope,West Indies,England,31,39,2,0,79.48717948717949,0,0,0,0,0,0,Sir Vivian Richards Stadium North Sound,0,0,2017,33
SDHope,West Indies,Pakistan,71,113,1,2,62.83185840707964,0,0,0,0,0,0,Providence Stadium,0,1,2017,90
SDHope,West Indies,Afghanistan,35,65,1,1,53.84615384615385,0,0,0,0,0,0,Darren Sammy National Cricket Stadium Gros Islet,0,2,2017,50
SDHope,West Indies,Afghanistan,109,147,8,3,74.14965986394559,0,0,0,0,0,0,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,0,2019,139
SDHope,West Indies,Afghanistan,77,135,5,0,57.03703703703704,0,0,0,0,0,0,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,0,1,2019,94
SDHope,West Indies,Bangladesh,96,123,4,1,78.04878048780488,0,0,0,0,0,0,The Cooper Associates County Ground,0,1,2019,118
SDHope,West Indies,Sri Lanka,47,81,4,1,58.0246913580247,0,0,0,0,0,0,Harare Sports Club,0,1,2016,57
SDHope,West Indies,India,24,53,2,0,45.28301886792453,0,0,0,0,0,0,Sir Vivian Richards Stadium North Sound,0,0,2017,20
SDHope,West Indies,Ireland,170,161,22,2,105.59006211180125,0,0,0,0,0,0,Castle Avenue,0,0,2019,212
SDHope,West Indies,Australia,68,110,7,0,61.81818181818181,0,0,0,0,0,0,Trent Bridge,0,4,2019,113
SDHope,West Indies,India,81,89,5,3,91.01123595505618,0,0,0,0,0,0,Queen's Park Oval Port of Spain,0,1,2017,108
SDHope,West Indies,Afghanistan,77,92,5,2,83.69565217391305,0,0,0,0,0,0,Headingley,0,0,2019,94
